text,created_at,name
@HotstarPremium Please put your excitement on hold and fix your platform first because only good content does not e… https://t.co/qiUKDQLSV1,2018-11-05 09:43:53,Pankti Bindal
"പ്രതിയോഗികളെ നേരിടാനുറച്ച് കാവ്യയുടെ സ്വന്തം കണ്ണേട്ടൻ. കസ്തൂരിമാൻ - ഇന്ന് രാത്രി 8:30നു ഏഷ്യാനെറ്റിൽ.
Kasthooriman… https://t.co/nikYmhKnQQ",2018-11-05 09:30:09,Asianet
RT @Amandee29199387: Heard a lot abt #Ishqbaaaz so finally started watching it from 1st episode on #hotstar loving the fight chemistry b/w…,2018-11-05 09:15:59,Anju Varghese
Heard a lot abt #Ishqbaaaz so finally started watching it from 1st episode on #hotstar loving the fight chemistry b… https://t.co/pcuYPQ2CZ5,2018-11-05 08:33:40,Amandeep Kaur
ശത്രുക്കളുടെ കുതന്ത്രങ്ങൾ സ്നേഹംകൊണ്ട് അതിജീവിക്കാനാകുമോ ഈ സഹോദരങ്ങൾക്ക്. കറുത്തമുത്ത് - തിങ്കൾ മുതൽ ശനി വരെ രാത്രി… https://t.co/3EGr4tqxlY,2018-11-05 07:30:07,Asianet
"ഭാര്യ - തിങ്കൾ മുതൽ വെള്ളി വരെ വൈകുന്നേരം 6:30നു ഏഷ്യാനെറ്റിൽ.
Bharya || Serial || Today at 6:30 PM || Asianet… https://t.co/TXRMDnmpPo",2018-11-05 06:30:29,Asianet
@AthulyaOfficial Advance Happy Diwali #athulyafans #athulyaslaves #athulya #athulyaravi #hotstar #hotstarathulya… https://t.co/YHeIhRSbXf,2018-11-05 06:15:08,Athulya ravi's slaves
"A child who was abused by parents grows up into an adult who has to deal with PTSDs hiding behind drugs, sex and de… https://t.co/xP36TNixgX",2018-11-05 02:03:33,Binduu
"Milagrow Robots Wishing You a Very Happy Birthday ​#ViratKohli @imVkohli
#Cricket #BCCI #Cricbuzz #ESPNcricinfo… https://t.co/WdKj2qVGxl",2018-11-04 23:30:01,Milagrow Robots
@ZEE5India @ZeeTV Uninstalled #ZEE5 app from my Mobile as well as from my Android Box. Keep your Premium tag for al… https://t.co/Ah3jOW5Oqx,2018-11-04 19:08:37,Vinu Varghese M
